Date,Open,High,Low,Close,Adj Close,Volume
2017-03-20,36.110001,36.830002,36.029999,36.730000,31.781370,912600
2017-03-27,36.490002,36.529999,35.590000,35.799999,30.976667,2402500
2017-04-03,35.919998,35.970001,35.099998,35.250000,30.500767,1952400
2017-04-10,36.189999,37.180000,36.180000,36.369999,31.469873,1804900
2017-04-17,36.799999,37.849998,36.250000,37.779999,32.689899,2182400
2017-04-24,38.750000,39.889999,38.650002,39.770000,34.411789,2204400
2017-05-01,39.759998,40.029999,38.790001,39.700001,34.351215,2355700
2017-05-08,39.450001,40.110001,38.740002,39.570000,34.238739,1661600
2017-05-15,39.930000,40.520000,38.709999,40.180000,34.766552,1535300
2017-05-22,40.130001,41.250000,40.110001,40.439999,34.991520,1474900
2017-05-29,40.669998,42.070000,40.610001,42.029999,36.367302,1233900
2017-06-05,41.590000,41.919998,40.790001,41.450001,35.865448,1533700
2017-06-12,41.980000,43.040001,41.700001,41.950001,36.298077,1904900
2017-06-19,42.070000,42.209999,40.660000,41.400002,35.822178,966800
2017-06-26,41.790001,41.990002,40.759998,41.509998,36.815681,1294600
2017-07-03,41.230000,41.360001,39.369999,40.330002,35.769138,797200
2017-07-10,40.689999,43.500000,40.610001,43.389999,38.483082,1216500
2017-07-17,43.599998,44.529999,43.439999,44.049999,39.068439,956000
2017-07-24,43.689999,44.630001,43.450001,44.349998,39.334511,1104800
2017-07-31,44.150002,44.740002,43.630001,44.740002,39.680412,830500
2017-08-07,45.009998,45.330002,43.500000,43.740002,38.793503,1006900
2017-08-14,44.770000,45.189999,43.509998,44.169998,39.174870,763100
2017-08-21,45.189999,46.480000,44.930000,46.400002,41.152683,734000
2017-08-28,46.279999,47.130001,46.009998,47.119999,41.791260,961000
2017-09-04,46.160000,46.740002,45.520000,45.980000,40.780174,847500
2017-09-11,46.480000,46.730000,45.009998,45.529999,40.381062,872500
2017-09-18,44.880001,44.880001,42.740002,43.060001,38.190392,2012300
2017-09-25,42.080002,42.540001,40.799999,41.810001,37.081760,1563500
2017-10-02,42.020000,42.320000,41.209999,41.639999,36.930984,1350100
2017-10-09,39.180000,42.299999,38.950001,42.049999,37.294624,3337100
2017-10-16,42.119999,42.840000,41.700001,42.630001,37.809029,1360900
2017-10-23,41.959999,41.959999,40.020000,40.880001,36.256931,3279700
2017-10-30,41.119999,43.040001,40.910000,41.200001,36.540745,1477300
2017-11-06,42.360001,43.220001,40.470001,40.480000,35.902168,1590400
2017-11-13,40.349998,41.099998,39.360001,39.560001,35.086216,1275800
2017-11-20,38.320000,39.000000,37.970001,38.139999,33.826794,1789800
2017-11-27,38.840000,38.840000,36.919998,38.150002,33.835659,3032500
2017-12-04,38.869999,40.580002,38.610001,40.450001,35.875565,2156900
